title,url,img,ingredients
Zucchini Boats,https://www.budgetbytes.com/zucchini-boats/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['zucchini (about 2 lbs.)', 'cooking oil, divided', 'Italian ground sausage', 'small yellow onion, diced', 'garlic cloves, minced', 'Italian seasoning', 'salt, divided', 'freshly cracked black pepper, divided', 'garlic powder', 'marinara sauce', 'breadcrumbs', 'shredded mozzarella']"
Watermelon and Feta Salad,https://www.budgetbytes.com/watermelon-and-feta-salad/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['white vinegar', 'olive oil', 'salt', 'freshly cracked black pepper', 'Homemade Balsamic Glaze']"
Watermelon Gazpacho,https://www.budgetbytes.com/watermelon-gazpacho/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Watermelon-Gazpacho-Overhead-268x200.jpg,"['sherry vinegar*', 'olive oil', 'salt', 'freshly cracked black pepper', 'watermelon, divided (approx. 9 cups)**', 'cucumber, seeded and diced, divided', 'red bell pepper, seeded and chopped, divided', 'roma tomatoes, seeded and diced, divided', 'red onion, diced', 'jalapeño, seeded and diced small', 'basil, minced', 'parsley, minced']"
Stovetop Baked Beans,https://www.budgetbytes.com/stovetop-baked-beans/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Stovetop-Baked-Beans-Plated-268x200.jpg,"['olive oil', 'smoked paprika', 'salt', 'onion, diced small', 'pinto beans, drained', 'Dijon mustard', 'ketchup', 'Worcestershire sauce', 'apple cider vinegar', 'packed brown sugar', 'water, plus more if needed']"
Grilled Corn On The Cob,https://www.budgetbytes.com/grilled-corn-on-the-cob/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Grilled-Corn-Peeled-268x200.jpg,"['corn, husks on', 'Water', 'Canola oil spray', 'sea salt', 'butter']"
Grilled BBQ Chicken,https://www.budgetbytes.com/grilled-bbq-chicken/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Grilled-BBQ-Chicken-Overhead-268x200.jpg,"['boneless, skinless chicken breasts*', 'olive oil', 'sea salt', 'freshly cracked black pepper', 'smoked paprika', 'brown sugar', 'BBQ sauce']"
Strawberry Sheet Cake,https://www.budgetbytes.com/strawberry-sheet-cake/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Strawberry-Sheet-Cake-Side-Close-268x200.jpg,"['fresh strawberries', 'granulated sugar', 'pinch of salt']"
Fried Green Tomatoes,https://www.budgetbytes.com/fried-green-tomatoes/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Fried-Green-Tomatoes-Overhead-268x200.jpg,"['green tomatoes, cut into 1/3-inch slices', 'all-purpose flour, divided', 'cornmeal', 'BBQ rub powder, optional', 'salt, divided', 'black pepper', 'buttermilk', 'eggs', 'canola oil*']"
Grilled Salmon,https://www.budgetbytes.com/grilled-salmon/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['skin-on Atlantic salmon', 'lemon, sliced in half', 'vegetable oil', 'sea salt', 'freshly cracked black pepper']"
Strawberry Cookies,https://www.budgetbytes.com/strawberry-cookies/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['fresh strawberries, brunoised (diced very small)', 'lemon juice', 'salted butter', 'light brown sugar', 'granulated sugar', 'egg', 'vanilla extract', 'all-purpose flour', 'sea salt', 'baking powder', 'white chocolate chips']"
Turkey Burger,https://www.budgetbytes.com/turkey-burger/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['85% lean ground turkey', 'soy sauce', 'shredded Parmesan', 'Panko breadcrumbs', 'hamburger buns']"
